date,open,high,low,close,Volume ETH,Volume USDT
4/14/2018 0:00,494.69,515,485.58,502.68,121283.3338,60727364.27
4/15/2018 0:00,502.68,535,502.51,533.88,108739.154,56506254.97
4/16/2018 0:00,533.88,538,497.31,511.46,130359.5255,66652300.81
4/17/2018 0:00,512.09,521.2,500.02,502.56,96541.96382,49273622.85
4/18/2018 0:00,502.56,526.99,501.12,526.09,73161.95251,37673780.84
4/19/2018 0:00,526.49,571.61,521.03,568.14,112235.7733,61044208.32
4/20/2018 0:00,568.14,622.17,556.5,617.09,160209.0395,93907683.48
4/21/2018 0:00,616.8,624.5,570.23,604.87,159364.9535,95664939.94
4/22/2018 0:00,604.87,643.49,589,620.92,120127.3728,74788729.85
4/23/2018 0:00,620.67,649.11,618.02,645.09,77475.70793,49473079.44
4/24/2018 0:00,644.58,712.99,643.76,701.58,171437.6697,118180314.7
4/25/2018 0:00,701.16,703.3,593.83,618,341439.5043,218497368.2
4/26/2018 0:00,617.73,666.19,600,661.51,155754.0082,98084636.58
4/27/2018 0:00,661.51,686.82,635.73,643.46,134803.4839,89621495.42
4/28/2018 0:00,643.41,694.9,638.76,682.86,113128.3634,76596615.43
4/29/2018 0:00,683.5,700.49,665.28,690.85,110020.2387,75235079.3
4/30/2018 0:00,690.85,695.3,662.2,670.78,112494.9172,76654028.98
5/1/2018 0:00,670.78,675.6,627.58,672,133123.6668,87065924.85
5/2/2018 0:00,671.99,691.99,663,688.56,86185.5033,58547697.51
5/3/2018 0:00,688.55,792.08,685.39,779,229419.209,169982888.3
5/4/2018 0:00,779,810,756.91,785.99,179924.4022,141283262.9
5/5/2018 0:00,785.8,832.66,781.56,819.5,128631.1876,104594301.6
5/6/2018 0:00,819.5,839.99,752.49,794.3,166871.16,132187629.5
5/7/2018 0:00,794.3,799.14,701,752.49,284237.0633,210066185.3
5/8/2018 0:00,753,777,720.02,748.99,135106.1962,101156197.3
5/9/2018 0:00,748.99,760.74,710.26,751.75,112353.3776,82933836.45
5/10/2018 0:00,752.4,769.88,720,722.52,102019.2993,76658823.46
5/11/2018 0:00,722.52,737.23,663,676.96,216953.5499,150336847.8
5/12/2018 0:00,676.96,690.2,633.2,684.11,166801.0749,111101666.3
5/13/2018 0:00,684.56,742,666.31,729.08,136022.3921,96516164.98
5/14/2018 0:00,729.08,743.9,686,727.49,183466.9224,131397089.1
5/15/2018 0:00,727.49,740,695,704.91,127191.2186,91869541.84
5/16/2018 0:00,704.91,712.84,673.52,706.29,118902.469,82315246.51
5/17/2018 0:00,706.8,719.25,662,667.62,106723.3838,74320001.25
5/18/2018 0:00,667.62,694.9,656,692.6,106541.6631,72118376.52
5/19/2018 0:00,693.26,717.8,682.31,697,88828.85641,62026599.81
5/20/2018 0:00,697,729.88,688.4,716.16,86004.7409,61227466.29
5/21/2018 0:00,716.16,720.46,688,696.7,96085.15451,67799023.55
5/22/2018 0:00,697.1,699.6,637.32,640.99,107059.5769,72112726.84
5/23/2018 0:00,640.86,669,560,577.19,257099.771,155638543.8
5/24/2018 0:00,577.19,612.1,550,602.18,195854.625,114324332.3
5/25/2018 0:00,602.08,617.46,568.7,585.55,118076.2627,70118224.93
5/26/2018 0:00,585.56,607.62,578.32,586,77654.12532,46205282.69
5/27/2018 0:00,586.03,592,557.43,570.4,97097.26713,55737244.52
5/28/2018 0:00,570.81,576.2,506.11,511.5,153197.8328,81950608.39
5/29/2018 0:00,511.5,573.43,510,567.36,189082.8379,103113233.7
5/30/2018 0:00,567.09,585.83,541.2,557.19,122132.2701,68698935.18
5/31/2018 0:00,557.87,586.73,552.98,577.81,100101.5228,57312700.87
6/1/2018 0:00,577.81,590.26,564.93,579,83840.84162,48334174.76
6/2/2018 0:00,579,599.17,572.9,590.85,80258.14719,47346968.13
6/3/2018 0:00,590.85,628.81,590.1,619.66,84123.33235,51660963.91
6/4/2018 0:00,619.66,625.47,580.15,591.02,96339.44507,57791317.73
6/5/2018 0:00,591.02,614,570.36,609.05,89053.74351,52918830.21
6/6/2018 0:00,609.29,613.35,593.4,607.4,70152.92117,42406036.34
6/7/2018 0:00,606.68,618,598.24,605.16,60174.1888,36622061.4
6/8/2018 0:00,605.2,608.45,593.33,598.68,49228.00755,29570758.38
6/9/2018 0:00,599.29,608.97,591,592.87,38908.0653,23425391.98
6/10/2018 0:00,592.44,592.87,501.13,524.11,190350.5843,103749727.2
6/11/2018 0:00,524.64,535.51,508.66,531.69,145813.0782,76462994.87
6/12/2018 0:00,531.08,538.88,482,493,158223.1481,81341580.82
6/13/2018 0:00,493,501.97,449.06,475.47,181842.1942,86416386.63
6/14/2018 0:00,475.47,529,460,519.29,206093.0733,102374390
6/15/2018 0:00,519.3,521,481.62,487.48,160532.5361,80145974.85
6/16/2018 0:00,487.47,503.28,483.72,496.74,131095.4517,64919187.05
6/17/2018 0:00,496.45,507.6,492.7,497.14,117316.9322,58745118.71
6/18/2018 0:00,497.15,524.48,487.27,517.95,143826.6827,72402471.35
6/19/2018 0:00,517.77,548.2,510.01,537.97,148148.3806,78382588.54
6/20/2018 0:00,537.68,542.02,515.08,536.49,123892.0424,65285793.65
6/21/2018 0:00,536.34,544.98,521.11,526.18,79862.90544,42586318.5
6/22/2018 0:00,526.32,526.44,450,462.09,212659.5344,102306774.8
6/23/2018 0:00,462.4,481,455,473.41,94465.26834,44316379.47
6/24/2018 0:00,473.4,475.81,419.53,454.41,198264.1008,88505534.66
6/25/2018 0:00,454.29,474.47,444.37,458.7,122942.1165,56436062.45
6/26/2018 0:00,459.04,460.81,429,429.34,84003.09976,37307967.11
6/27/2018 0:00,429.81,445.95,420.19,441.64,99156.36437,42947280.72
6/28/2018 0:00,441.36,443.96,416.45,420.22,112309.5671,48557224.77
6/29/2018 0:00,420.48,442,404.48,434.77,159495.3094,66573394.28
6/30/2018 0:00,434.77,463.15,434.51,454.09,157169.2024,70748384.85
7/1/2018 0:00,454.2,457.77,443.73,452.1,111226.6285,50173671.42
7/2/2018 0:00,452.14,481.83,444.16,476.25,182585.1102,84408714.71
7/3/2018 0:00,476.32,486.98,457,461.82,186954.5548,88130206.05
7/4/2018 0:00,461.78,482.7,458.02,467.38,101886.202,48042056.08
7/5/2018 0:00,467.19,480,458.8,467.87,125806.0083,59119270.52
7/6/2018 0:00,467.79,476,451.29,470.47,100428.648,46633547.17
7/7/2018 0:00,470.48,487.99,461.5,485.57,83629.95382,39311721.86
7/8/2018 0:00,485.57,495.98,482.05,486.77,144703.1363,70523945.99
7/9/2018 0:00,486.55,488.98,468.2,471.71,89532.14109,42954426.84
7/10/2018 0:00,471.73,473.23,427.69,432.48,173640.9762,77742521.13
7/11/2018 0:00,432.55,452.69,424.2,444.99,159022.5973,69570597.67
7/12/2018 0:00,444.99,445.36,416.94,431.14,181877.0792,78631113.03
7/13/2018 0:00,431.14,442.47,424.62,432.46,150320.3253,65466673.8
7/14/2018 0:00,432.43,440,428.26,433.19,122253.694,53029892.4
7/15/2018 0:00,433.2,455,430.52,449.78,140415.2705,62248916.06
7/16/2018 0:00,449.79,480.57,444.03,478.49,172440.7134,80398354.46
7/17/2018 0:00,478.49,512,465.29,498.76,215318.0676,104290230.2
7/18/2018 0:00,498.89,515.47,468.01,479.41,236137.8071,116671540.5
7/19/2018 0:00,479.4,484.15,462.57,468.57,171308.0671,81153216.49
7/20/2018 0:00,468.7,471.02,440,449.04,160873.3824,73878492.44
7/21/2018 0:00,449.04,468.97,441.18,460.23,74259.64067,34051603.36
7/22/2018 0:00,460.23,472.2,454.19,457.47,60684.89595,28129475.21
7/23/2018 0:00,457.47,469.82,447.11,450.05,106561.4608,49054903.28
7/24/2018 0:00,450.05,484.27,448.47,479.28,158286.759,74269738.42
7/25/2018 0:00,479.24,485.77,464,472.1,170475.5494,80868121.11
7/26/2018 0:00,472.11,485,460,462.64,173976.2192,82819272.57
7/27/2018 0:00,462.17,474,455.84,470.09,198304.7921,92234746.46
7/28/2018 0:00,470.09,472,460.82,469.29,156862.5936,73310723.78
7/29/2018 0:00,468.44,472,461.6,466.4,138747.5633,64627164.92
7/30/2018 0:00,466.4,469.79,446.1,456.23,179581.7942,82428123.81
7/31/2018 0:00,456.19,457.3,427,432.22,214913.5723,94399725.75
8/1/2018 0:00,432.2,434.99,406.55,420.41,209570.0844,88066594.01
8/2/2018 0:00,420.37,425.52,407.43,410.62,178421.1067,74102793.63
8/3/2018 0:00,410.62,420.01,396.61,417.52,201156.6115,82442762.71
8/4/2018 0:00,417.58,419.53,401.86,407.21,179498.5752,73796154.8
8/5/2018 0:00,407.21,413.24,400.16,408.79,158913.7721,64593904.84
8/6/2018 0:00,408.77,413.28,397.08,405.28,166496.4247,67757484.94
8/7/2018 0:00,405.19,412.76,369.19,378.21,207706.1108,83083795.05
