Date,Open,High,Low,Adj Close,Volume,RSI,EMA_short,EMA_long
4/29/2022,39768.61719,39887.26953,38235.53516,38609.82422,30882994649,40.92393288,40385.98535,42398.90525
4/30/2022,38605.85938,38771.21094,37697.94141,37714.875,23895713731,38.15857915,40131.59389,42306.15217
5/1/2022,37713.26563,38627.85938,37585.78906,38469.09375,27002760110,41.71483898,39973.26054,42230.17082
5/2/2022,38472.1875,39074.97266,38156.5625,38529.32813,32922642426,42.00023673,39835.74317,42156.8868
5/3/2022,38528.10938,38629.99609,37585.62109,37750.45313,27326943244,39.33199538,39637.14412,42069.63069
5/4/2022,37748.01172,39902.94922,37732.05859,39698.37109,36754404490,48.15725489,39642.97526,42022.67505
5/5/2022,39695.74609,39789.28125,35856.51563,36575.14063,43106256317,38.52891975,39350.80053,41914.80309
5/6/2022,36573.18359,36624.35938,35482.13281,36040.92188,37795577489,37.1670793,39035.57399,41798.48861
5/7/2022,36042.50391,36129.92578,34940.82422,35501.95313,24375896406,35.79928306,38699.03867,41673.80474
5/8/2022,35502.94141,35502.94141,33878.96484,34059.26563,36763041910,32.38159006,38257.15552,41523.02178
5/9/2022,34060.01563,34222.07422,30296.95313,30296.95313,63355494961,25.56273006,37499.04101,41300.72339
5/10/2022,30273.6543,32596.30859,29944.80273,31022.90625,59811038817,28.66810677,36882.26627,41097.20226
5/11/2022,31016.18359,32013.40234,28170.41406,28936.35547,70388855818,25.40436492,36125.51286,40856.39341
5/12/2022,28936.73438,30032.43945,26350.49023,29047.75195,66989173272,25.88699784,35451.44039,40622.55893
5/13/2022,29030.91016,30924.80273,28782.33008,29283.10352,42841124537,26.9567725,34863.97974,40398.01526
5/14/2022,29285.64258,30192.80273,28702.91016,30101.26563,28579868620,30.68343801,34410.38792,40194.11923
5/15/2022,30098.58594,31308.19141,29527.74023,31305.11328,25835372065,35.8437375,34114.64748,40018.09931
5/16/2022,31304.375,31305.3418,29251.88477,29862.91797,32613897286,32.71742241,33709.72086,39817.00661
5/17/2022,29862.4082,30694.49023,29570.30273,30425.85742,29101473475,35.08532155,33396.97196,39631.04326
5/18/2022,30424.47852,30618.7168,28720.27148,28720.27148,31285268319,31.48798856,32951.57191,39414.98837
5/19/2022,28720.35938,30430.75195,28708.95508,30314.33398,33773447707,37.86725421,32700.4064,39234.77739
5/20/2022,30311.11914,30664.97656,28793.60547,29200.74023,30749382605,35.40011686,32367.10486,39036.08359
5/21/2022,29199.85938,29588.86914,29027.39453,29432.22656,17274840442,36.32410491,32087.59264,38845.9082
5/22/2022,29432.47266,30425.86133,29275.18359,30323.72266,21631532270,39.87275556,31919.60502,38677.15205
5/23/2022,30309.39648,30590.58594,28975.56055,29098.91016,31483454557,36.84976816,31650.96741,38487.48389
5/24/2022,29101.125,29774.35547,28786.58984,29655.58594,26616506245,39.0982321,31460.93108,38312.59483
5/25/2022,29653.13477,30157.78516,29384.94922,29562.36133,27525063551,38.85003661,31280.11492,38139.32288
5/26/2022,29564.77734,29834.16016,28261.90625,29267.22461,36774325352,38.03113461,31088.41108,37963.63776
5/27/2022,29251.14063,29346.94336,28326.61328,28627.57422,36582005748,36.25649968,30854.04566,37778.76522
5/28/2022,28622.625,28814.90039,28554.56641,28814.90039,35519577634,37.17633905,30659.84135,37601.26294
5/29/2022,29019.86719,29498.00977,28841.10742,29445.95703,18093886409,40.28649222,30544.23332,37439.77174
5/30/2022,29443.36523,31949.63086,29303.57227,31726.39063,39277993274,49.89121292,30656.81973,37326.63548
5/31/2022,31723.86523,32249.86328,31286.1543,31792.31055,33538210634,50.13960079,30764.96171,37217.04488
6/1/2022,31792.55469,31957.28516,29501.58789,29799.08008,41135817341,43.20179219,30672.97299,37070.15449
6/2/2022,29794.89063,30604.73438,29652.70508,30467.48828,29083562061,45.89179094,30653.40301,36939.40863
6/3/2022,30467.80664,30633.03516,29375.68945,29704.39063,26175547452,43.37876921,30563.02088,36796.14094
6/4/2022,29706.13867,29930.56445,29500.00586,29832.91406,16588370958,43.93280207,30493.4869,36658.25526
6/5/2022,29835.11719,30117.74414,29574.44922,29906.66211,17264085441,44.26806978,30437.59882,36524.56035
6/6/2022,29910.2832,31693.29102,29894.1875,31370.67188,31947336829,50.55658351,30526.46292,36422.50315
6/7/2022,31371.74219,31489.68359,29311.68359,31155.47852,40770974039,49.67386947,30586.36917,36318.20563
6/8/2022,31151.48047,31253.69141,29944.4043,30214.35547,30242059107,45.917236,30550.93929,36197.33731
6/9/2022,30215.2793,30609.31055,30020.26563,30111.99805,21692004719,45.51611796,30509.13537,36076.83555
6/10/2022,30110.33008,30245.80859,28978.14648,29083.80469,29867476527,41.60450811,30373.38959,35938.35969
6/11/2022,29084.66602,29401.91602,28236.21289,28360.81055,27246574439,39.07458185,30181.71539,35788.30921
